GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY_
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Wells Fargo And Company,43.9
Pepsico Inc,3,Bank Of America Corp,Assured Guaranty Ltd,3.2
Alphabet Inc,3,Apple Inc,Sap Se,1.2
Goldman Sachs Group Inc,3,Huntsman Corp,Citigroup Inc,1.9
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,1.4
Jp Morgan Chase And Co,3,Intercontinental Exchange,Federal Home Loan Mortgage Corp,0.6
Pepsico Inc,3,Jp Morgan Chase And Co,Australia And New Zealand Bank,5
Pepsico Inc,3,Jp Morgan Chase And Co,Mastercard Inc,36
Pepsico Inc,3,Jp Morgan Chase And Co,Fair Isaac Corp,4.3
Pepsico Inc,3,Jp Morgan Chase And Co,Jp Morgan Investment Management Inc,4.5
Microsoft Corp,3,Bank Of America Corp,Mastercard Inc,4.4
Microsoft Corp,3,Bank Of America Corp,Pimco Dynamic Credit Income Fun,3.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Tesla Inc,49.9
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Wells Fargo And Company,1.2
Microsoft Corp,3,Sandp Global Inc,Exxon Mobil Corp,1.6
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Caterpillar Inc,0.6
Coca-Cola Company,2,Kellogg Company,Thomson Reuters Corp,0.5
Microsoft Corp,2,Atandt Inc,Target Corp,1
Microsoft Corp,2,Atandt Inc,Frontier Communications Corp,0.6
Pepsico Inc,2,Jp Morgan Chase And Co,City Office Reit Inc,1.2
Pepsico Inc,2,Jp Morgan Chase And Co,London Stock Exchange Group Plc,0.5
Pepsico Inc,2,Jp Morgan Chase And Co,Smtc Corp,0.6
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,American International Group Inc,0.6
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Ubs Group Ag,14.6
Coca-Cola Company,2,Molson Coors Brewing Co,International Flavors And Fragrances Inc,0.7
Coca-Cola Company,2,Nrg Energy,Nantkwest Inc,0.5
Coca-Cola Company,2,Intercontinental Exchange,Facebook Inc,2.2
Goldman Sachs Group Inc,3,Bank Of America Corp,First Republic Bank,2.2
Jp Morgan Chase And Co,3,Federal Home Loan Mortgage Corp,Hsbc Holdings Plc,3.6
Coca-Cola Company,3,Bank Of America Corp,Maxim Integrated Products Inc,3.5
Alphabet Inc,3,Atandt Inc,Deutsche Bank,21.4
Alphabet Inc,3,Goldman Sachs Group Inc,Metro Inc,6.5
Alphabet Inc,3,Federal Home Loan Mortgage Corp,Jp Morgan Chase And Co,3.5
Goldman Sachs Group Inc,3,Wells Fargo And Company,Metlife Inc,4.5
Alphabet Inc,3,Jp Morgan Chase And Co,Apple Inc,1.7
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Smtc Corp,0.6
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Genworth Financial Inc,0.9
Microsoft Corp,3,Bank Of America Corp,Noble Energy Inc,1.8
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Eastman Kodak Co,0.5
Coca-Cola Company,1,Coca-Cola Company,Coca-Cola European Partners Plc,0.6
Alphabet Inc,1,Alphabet Inc,The Walt Disney Co,12.3
Coca-Cola Company,1,Coca-Cola Company,Kellogg Company,1.6
Microsoft Corp,1,Microsoft Corp,Bank Of New York Mellon Corp,4.3
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Mastercard Inc,0.6
Coca-Cola Company,2,Nrg Energy,Archer Daniels Midland Co,8.2
Microsoft Corp,2,Atandt Inc,Moodys Corp /De/,6.5
Alphabet Inc,2,Ebay Inc,Jp Morgan Chase And Co,6.7
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Fair Isaac Corp,3.7
Pepsico Inc,2,Wells Fargo And Company,Apple Inc,0.7
Microsoft Corp,2,International Business Machines Corp,American Airlines Group Inc,1.1
Microsoft Corp,2,International Business Machines Corp,Hewlett Packard Enterprise Comp,17.9
Microsoft Corp,2,International Business Machines Corp,Synnex Corp,0.7
Microsoft Corp,3,Hsbc Holdings Plc,Facebook Inc,6
Alphabet Inc,3,Goldman Sachs Group Inc,Pepsico Inc,2.3
Alphabet Inc,3,Amazon Com Inc,Capital One Financial Corp,0.7
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Deere And Company,1.1
Alphabet Inc,3,Apple Inc,Sony Corp,1.9
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Cincinnati Bell Inc,2
Jp Morgan Chase And Co,3,Federal Home Loan Mortgage Corp,Hsbc Holdings Plc,2.5
Microsoft Corp,3,Bank Of America Corp,International Flavors And Fragrances Inc,4.9
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Bbandt Corp,1.9
Goldman Sachs Group Inc,3,Bank Of America Corp,Medtronic Public Limited Company,1.5
Microsoft Corp,3,Hsbc Holdings Plc,Facebook Inc,2
Pepsico Inc,3,Jp Morgan Chase And Co,Transocean Ltd,3.7
Microsoft Corp,3,Bank Of America Corp,Assured Guaranty Ltd,4.8
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Aib Group Plc,0.5
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Credit Suisse Group,1.1
Coca-Cola Company,1,Coca-Cola Company,Monster Beverage Corp,0.8
Pepsico Inc,1,Pepsico Inc,Walmart Inc,7.1
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Mitsubishi Corp,0.7
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,State Street Corp,0.5
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Navistar International Corp,0.7
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Intercontinental Exchange,2.2
Coca-Cola Company,1,Coca-Cola Company,Twitter Inc,6.6
Coca-Cola Company,2,Twitter Inc,Facebook Inc,5.1
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Ocwen Financial Corp,2.7
Morgan Stanley International Holdings Inc,2,Jp Morgan Chase And Co,Citigroup Inc,21.9
Coca-Cola Company,2,Nrg Energy,Oci Partners Lp,1.4
Pepsico Inc,2,Wells Fargo And Company,London Stock Exchange Group Plc,1
Microsoft Corp,3,Hsbc Holdings Plc,Jp Morgan Chase And Co,1.2
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Deutsche Bank,1.4
Microsoft Corp,3,Hewlett Packard Enterprise Comp,Bank Of America Corp,2.8
Jp Morgan Chase And Co,3,Intercontinental Exchange,The Walt Disney Co,0.9
Alphabet Inc,3,Twitter Inc,Apple Inc,2.9
Goldman Sachs Group Inc,3,Bank Of America Corp,Wells Fargo And Company,3.8
Goldman Sachs Group Inc,3,Bank Of America Corp,Tesla Inc,81.2
Pepsico Inc,3,Mastercard Inc,Ubs Group Ag,3.3
Coca-Cola Company,3,Bank Of America Corp,Avon Products Inc,3.7
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Aib Group Plc,0.5
Alphabet Inc,3,Jp Morgan Chase And Co,Citigroup Inc,0.9
Alphabet Inc,3,Jp Morgan Chase And Co,Abbvie Inc,1.6
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Prudential Financial Inc,1.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Uber Technologies Inc,21.8
Microsoft Corp,3,Bank Of America Corp,Deutsche Bank,14
Jp Morgan Chase And Co,3,Deutsche Bank,Facebook Inc,0.5
Microsoft Corp,3,Bank Of America Corp,Regions Financial Corp,2.6
Microsoft Corp,3,Bank Of America Corp,Advance Auto Parts Inc,1.1
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,First Republic Bank,0.6
Coca-Cola Company,3,Bank Of America Corp,Bank Of New York Mellon Corp,2
Microsoft Corp,3,Goldman Sachs Group Inc,Intercontinental Exchange,1.8
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Jp Morgan Chase And Co,8.7
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Maiden Holdings Ltd,33.1
Alphabet Inc,2,Sandp Global Inc,Ihs Markit Ltd,5.2
Microsoft Corp,2,Atandt Inc,Oci Nv,3.6
Goldman Sachs Group Inc,2,Intercontinental Exchange,Deutsche Bank,0.5
Goldman Sachs Group Inc,2,Ihs Markit Ltd,Bank Of America Corp,2.9
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Capital One Financial Corp,1.2
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Radian Group Inc,1
Morgan Stanley International Holdings Inc,2,Jp Morgan Chase And Co,Wells Fargo And Company,1.4
Coca-Cola Company,2,Philip Morris International Inc,Deutsche Bank,12
Coca-Cola Company,2,Philip Morris International Inc,Unilever Nv Ord,1
Coca-Cola Company,2,Pepsico Inc,Unilever Nv Ord,0.8
Pepsico Inc,2,Hsbc Holdings Plc,Ubs Group Ag,1.1
Alphabet Inc,2,Oracle Corp,International Business Machines Corp,1.6
Coca-Cola Company,2,Intercontinental Exchange,Cold Spring Capital Inc,5.5
Coca-Cola Company,2,Intercontinental Exchange,Trueblue Inc,0.6
Microsoft Corp,2,Us Bancorp,Hsbc Holdings Plc,0.5
Jp Morgan Chase And Co,3,Bank Of America Corp,International Flavors And Fragrances Inc,0.6
Microsoft Corp,3,Hsbc Holdings Plc,Facebook Inc,1.2
Alphabet Inc,3,Linkedin Corp,Apple Inc,3.4
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Realogy Holdings Corp,8.2
Goldman Sachs Group Inc,3,Bank Of America Corp,Visa Inc,2.8
Goldman Sachs Group Inc,3,Bank Of America Corp,Maiden Holdings Ltd,1.9
Goldman Sachs Group Inc,3,Bank Of America Corp,First Republic Bank,1.6
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Prudential Financial Inc,1.5
Pepsico Inc,3,Bank Of America Corp,Countrywide Plc,3.2
Alphabet Inc,3,Facebook Inc,Uber Technologies Inc,3
Jp Morgan Chase And Co,3,Intercontinental Exchange,Federal Home Loan Mortgage Corp,0.5
Pepsico Inc,3,Deutsche Bank,Jp Morgan Chase And Co,29.1
Alphabet Inc,3,Jp Morgan Chase And Co,Linkedin Corp,0.7
Alphabet Inc,3,Jp Morgan Chase And Co,T-Mobile Us,1.5
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Waddell And Reed Financial Inc,3.1
Alphabet Inc,3,Jp Morgan Chase And Co,Vanguard Group,2.4
Coca-Cola Company,3,Citigroup Inc,Pepsico Inc,1.7
Microsoft Corp,3,Hsbc Holdings Plc,Facebook Inc,2.6
Goldman Sachs Group Inc,3,Bank Of America Corp,Visa Inc,4.6
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Eastman Kodak Co,0.5
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Oasis Petroleum Inc,0.8
Microsoft Corp,3,Bank Of America Corp,Regions Financial Corp,1.4
Pepsico Inc,3,Jp Morgan Chase And Co,Cra International,4.8
Pepsico Inc,3,Jp Morgan Chase And Co,Linkedin Corp,55.4
Microsoft Corp,3,Bank Of America Corp,International Flavors And Fragrances Inc,8.8
Microsoft Corp,3,Bank Of America Corp,First Republic Bank,6.4
Pepsico Inc,3,Deutsche Bank,Vanguard Group,9.1
Goldman Sachs Group Inc,3,Wells Fargo And Company,Federal Home Loan Mortgage Corp,3
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Sandp Global Inc,6.7
Alphabet Inc,1,Alphabet Inc,Oracle Corp,100
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Maiden Holdings Ltd,5.5
Alphabet Inc,1,Alphabet Inc,Apple Inc,51.3
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Deutsche Bank,12.1
Microsoft Corp,2,Cisco Systems Inc,Symantec Corp,3.2
Morgan Stanley International Holdings Inc,2,Citigroup Inc,Realogy Holdings Corp,0.7
Microsoft Corp,2,Atandt Inc,Netflix Inc,42.1
Microsoft Corp,2,Atandt Inc,Mitsubishi Ufj Financial Group Inc,0.7
Coca-Cola Company,2,Twitter Inc,Alphabet Inc,1.6
Alphabet Inc,2,Oracle Corp,Wells Fargo And Company,10
Coca-Cola Company,2,Intercontinental Exchange,Bmo Financial Group,1.9
Coca-Cola Company,2,Intercontinental Exchange,Nextera Energy,100
Coca-Cola Company,2,Intercontinental Exchange,Lamb Weston Holdings Inc,10.3
Coca-Cola Company,2,Intercontinental Exchange,Town Sports International Holdings Inc,0.7
Goldman Sachs Group Inc,3,Bank Of America Corp,American Airlines Group Inc,1.9
Goldman Sachs Group Inc,3,Mastercard Inc,Amazon Com Inc,2.3
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Vanguard Group,21.3
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Bbandt Corp,0.7
Microsoft Corp,3,American Airlines Group Inc,Apple Inc,7
Alphabet Inc,3,Jp Morgan Chase And Co,Netflix Inc,1.8
Alphabet Inc,3,Jp Morgan Chase And Co,Starbucks Corp,0.7
Coca-Cola Company,3,Citigroup Inc,Starbucks Corp,4.3
Alphabet Inc,3,Jp Morgan Chase And Co,T-Mobile Us,4.1
Alphabet Inc,3,Apple Inc,Sap Se,0.9
Alphabet Inc,3,Jp Morgan Chase And Co,Nestle Sa Cham Et Ve,0.8
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Brighthouse Financial Inc,2.6
Alphabet Inc,3,Jp Morgan Chase And Co,Amazon Com Inc,12.9
Coca-Cola Company,3,Bank Of America Corp,Linkedin Corp,11.6
Coca-Cola Company,3,Bank Of America Corp,Zoom Video Communications Inc,1.9
Microsoft Corp,3,Intel Corp,Facebook Inc,1.6
Goldman Sachs Group Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,1.4
Microsoft Corp,3,Sandp Global Inc,Moodys Corp /De/,5.2
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Wells Fargo And Company,65.1
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Barclays Plc,0.8
Goldman Sachs Group Inc,2,Intercontinental Exchange,Us Bancorp,0.8
Alphabet Inc,2,Netflix Inc,Jp Morgan Chase And Co,1.1
Microsoft Corp,2,Bank Of New York Mellon Corp,Jp Morgan Chase And Co,3.6
Alphabet Inc,2,Oracle Corp,Sun Biopharma Inc,0.7
Coca-Cola Company,2,Jefferies Financial Group Inc,Total Marketing Services Sa,1
Coca-Cola Company,2,Apple Inc,Thomson Reuters Corp,0.8
Coca-Cola Company,2,Dr Pepper Snapple Group Inc,Intercontinental Exchange,2.3
Coca-Cola Company,2,Dr Pepper Snapple Group Inc,Pepsico Inc,1.4
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Hera Ltd,1
Coca-Cola Company,2,Philip Morris International Inc,Banco Santander Sa,2.4
Alphabet Inc,2,Amazon Com Inc,Goldman Sachs Group Inc,12.9
Pepsico Inc,2,Wells Fargo And Company,Schwab Charles Corp,0.9
Coca-Cola Company,3,Bank Of America Corp,Ambac Financial Group Inc,3.4
Alphabet Inc,3,Facebook Inc,Ubs Group Ag,4.7
Microsoft Corp,3,American Airlines Group Inc,Apple Inc,2.7
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Dowdupont Inc,3.1
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Xerox Corp,0.9
Alphabet Inc,3,Jp Morgan Chase And Co,Ericsson Inc,0.8
Alphabet Inc,3,Atandt Inc,Deutsche Telekom Ag,1.6
Jp Morgan Chase And Co,3,Federal National Mortgage Association,Bank Of America Corp,36
Alphabet Inc,3,Jp Morgan Chase And Co,Starbucks Corp,3.2
Jp Morgan Chase And Co,3,Goldman Sachs Group Inc,Facebook Inc,0.5
Pepsico Inc,3,Jp Morgan Chase And Co,Hp Inc,6.9
Pepsico Inc,3,Federal Home Loan Mortgage Corp,Metlife Inc,3.5
Pepsico Inc,3,Jp Morgan Chase And Co,Assured Guaranty Ltd,7.6
Microsoft Corp,3,Deutsche Bank,Jp Morgan Chase And Co,13.2
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Wells Fargo And Company,2.3
Coca-Cola Company,1,Coca-Cola Company,Kraft Heinz Co,1.2
Pepsico Inc,1,Pepsico Inc,Nestle Sa Cham Et Ve,0.7
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Allstate Corp,1
Morgan Stanley International Holdings Inc,2,Citigroup Inc,Cincinnati Bell Inc,0.7
Microsoft Corp,2,Verizon Communications Inc,Altaba Inc,0.6
Microsoft Corp,2,Cisco Systems Inc,Altice,3.2
Microsoft Corp,2,Atandt Inc,Warner Media Llc,10.8
Microsoft Corp,2,Adobe Inc,Starbucks Corp,2.9
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Barclays Plc,1.3
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Bank Of America Corp,8
Alphabet Inc,2,Ebay Inc,Wells Fargo And Company,1
Coca-Cola Company,2,Pepsico Inc,Intercontinental Exchange,81.9
Pepsico Inc,2,Wells Fargo And Company,Canadian Imperial Bank Of Commerce,1.5
Pepsico Inc,2,Wells Fargo And Company,Applied Materials Inc /De,2.1
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Citigroup Inc,4.5
Pepsico Inc,2,Wells Fargo And Company,Oci Partners Lp,2
Microsoft Corp,2,International Business Machines Corp,Progressive Corp/Oh/,0.6
Morgan Stanley International Holdings Inc,2,Bank Of America Corp,Intercontinental Exchange,1.7
Microsoft Corp,2,Us Bancorp,Ubs Group Ag,4
Coca-Cola Company,2,Intercontinental Exchange,Factset Research Systems Inc,0.9
Microsoft Corp,3,Mizuho Financial Group Inc,Twitter Inc,2.2
Microsoft Corp,3,Hsbc Holdings Plc,Facebook Inc,3.7
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,First Republic Bank,0.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Uber Technologies Inc,13.2
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,International Flavors And Fragrances Inc,2.5
Alphabet Inc,3,Jp Morgan Chase And Co,Thomson Reuters Corp,1.3
Pepsico Inc,3,Bank Of America Corp,Fair Isaac Corp,4.9
Alphabet Inc,3,Nokia Corp,Jp Morgan Chase And Co,1.2
Microsoft Corp,3,Sandp Global Inc,Moodys Corp /De/,2.4
Alphabet Inc,3,Amazon Com Inc,Federal Home Loan Mortgage Corp,1.5
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Bbandt Corp,1.9
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Smtc Corp,0.6
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Vodafone Group Plc,1.3
Morgan Stanley International Holdings Inc,3,Mastercard Inc,Goldman Sachs Group Inc,0.6
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Avon Products Inc,0.5
Microsoft Corp,3,Bank Of America Corp,China Mobile [Hong Kong] Ltd,2.3
Microsoft Corp,3,Bank Of America Corp,Noble Energy Inc,3.2
Microsoft Corp,3,Bank Of America Corp,Deutsche Bank,25.1
Jp Morgan Chase And Co,3,Goldman Sachs Group Inc,Intercontinental Exchange,1.6
Goldman Sachs Group Inc,3,Bank Of America Corp,First Republic Bank,1.9
Microsoft Corp,3,Starbucks Corp,Fiat Chrysler Automobiles Nv,1.3
Jp Morgan Chase And Co,3,Intercontinental Exchange,The Walt Disney Co,0.5
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Mbia Inc,1.4
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,1.2
Goldman Sachs Group Inc,3,Wells Fargo And Company,Ralph Lauren Corp,2.2
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Navistar International Corp,1.8
Microsoft Corp,1,Microsoft Corp,Us Bancorp,23.5
Alphabet Inc,1,Alphabet Inc,Amazon Com Inc,44.7
Pepsico Inc,1,Pepsico Inc,Visa Inc,1.8
Pepsico Inc,2,Jp Morgan Chase And Co,Deutsche Bank,9.2
Coca-Cola Company,2,Dr Pepper Snapple Group Inc,Wells Fargo And Company,0.6
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Mgic Investment Corp,1.4
Microsoft Corp,2,Bank Of New York Mellon Corp,Citigroup Inc,0.6
Pepsico Inc,2,Wells Fargo And Company,Ebay Inc,0.9
Pepsico Inc,2,Wells Fargo And Company,The Toronto-Dominion Bank,0.5
Jp Morgan Chase And Co,3,Intercontinental Exchange,Goldman Sachs Group Inc,2
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Eastman Kodak Co,0.5
Alphabet Inc,3,Facebook Inc,Microsoft Corp,6.1
Alphabet Inc,3,Hp Inc,Goldman Sachs Group Inc,1.2
Alphabet Inc,3,Atandt Inc,Bnp Paribas,0.9
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,International Flavors And Fragrances Inc,2.7
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Vanguard Group,99.2
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Xerox Corp,0.9
Alphabet Inc,3,Jp Morgan Chase And Co,Amazon Com Inc,34.8
Goldman Sachs Group Inc,3,Bank Of America Corp,Tesla Inc,100
Microsoft Corp,3,Bank Of America Corp,Ubs Group Ag,3.1
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,0.9
Microsoft Corp,3,Bank Of America Corp,Sanofi Sa,5
Goldman Sachs Group Inc,3,Bank Of America Corp,Maiden Holdings Ltd,2.1
Microsoft Corp,3,Atandt Inc,Cbs Corp,13.5
Goldman Sachs Group Inc,3,Wells Fargo And Company,Hollyfrontier Corp,1.2
Alphabet Inc,1,Alphabet Inc,Linkedin Corp,6.3
Coca-Cola Company,2,Philip Morris International Inc,Procter And Gamble Co,0.7
Microsoft Corp,2,Adobe Inc,Apple Inc,1.8
Morgan Stanley International Holdings Inc,2,Citigroup Inc,Intercontinental Exchange,5.3
Morgan Stanley International Holdings Inc,2,Citigroup Inc,Jp Morgan Chase And Co,100
Microsoft Corp,2,Atandt Inc,Altice,0.7
Microsoft Corp,2,Atandt Inc,Lloyds Banking Group Plc,0.5
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Bmo Financial Group,0.8
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Gartner Inc,1.6
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Banco Bilbao Viscaya Argentaria Sa,1.4
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Intercontinental Exchange,19
Alphabet Inc,3,Amazon Com Inc,Federal Home Loan Mortgage Corp,1.6
Alphabet Inc,3,Jp Morgan Chase And Co,Adidas Ag,0.8
Alphabet Inc,3,Jp Morgan Chase And Co,Unilever Plc,3
Coca-Cola Company,3,Bank Of America Corp,Capital One Financial Corp,8.6
Goldman Sachs Group Inc,3,Bank Of America Corp,American Airlines Group Inc,1.4
Goldman Sachs Group Inc,3,Bank Of America Corp,Fitbit Inc,1.6
Alphabet Inc,3,Facebook Inc,Volkswagen Ag,2.4
Goldman Sachs Group Inc,3,Bank Of America Corp,Medtronic Public Limited Company,1.8
Jp Morgan Chase And Co,3,Federal Home Loan Mortgage Corp,Ubs Group Ag,0.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Wells Fargo And Company,2.4
Pepsico Inc,3,Jp Morgan Chase And Co,Public Storage,53.8
Pepsico Inc,3,Jp Morgan Chase And Co,Coastal Financial Corp,18.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Google,5.4
Coca-Cola Company,1,Coca-Cola Company,Pepsico Inc,21.1
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Berkshire Hathaway Inc,5.3
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Schwab Charles Corp,0.8
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Alta Mesa Resources Inc,1.2
Coca-Cola Company,2,Equifax Inc,Sandp Global Inc,1
Coca-Cola Company,2,Kellogg Company,Sap Se,0.8
Microsoft Corp,2,Cisco Systems Inc,Oci Partners Lp,0.7
Microsoft Corp,2,Facebook Inc,Apple Inc,3.2
Microsoft Corp,2,Atandt Inc,Comcast Corp A,0.8
Microsoft Corp,2,Atandt Inc,Discovery Comm Inc,5.4
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Chase Corp,3.8
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Cognizant Technology Solutions Corp,5.6
Pepsico Inc,2,Jp Morgan Chase And Co,Walmart Inc,7.5
Coca-Cola Company,2,Philip Morris International Inc,Bnp Paribas,0.7
Coca-Cola Company,2,Pepsico Inc,Sap Se,1.7
Alphabet Inc,2,Apple Inc,Atandt Inc,100
Goldman Sachs Group Inc,2,Citigroup Inc,Jp Morgan Chase And Co,100
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Realogy Holdings Corp,0.9
Morgan Stanley International Holdings Inc,2,Bank Of America Corp,Wells Fargo And Company,12.4
Microsoft Corp,2,Us Bancorp,Visa Inc,2.5
Microsoft Corp,2,Us Bancorp,International Flavors And Fragrances Inc,3.8
Jp Morgan Chase And Co,3,Morgan Stanley International Holdings Inc,Citigroup Inc,0.7
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Coastal Financial Corp,2.8
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,0.9
Pepsico Inc,3,Deutsche Bank,Vanguard Group,4.9
Goldman Sachs Group Inc,3,Bank Of America Corp,Canadian Imperial Bank Of Commerce,1.2
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Nantkwest Inc,1.3
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Prudential Financial Inc,1.6
Coca-Cola Company,3,Bank Of America Corp,Mastercard Inc,5.9
Goldman Sachs Group Inc,3,Bank Of America Corp,Google,29.6
Jp Morgan Chase And Co,3,Goldman Sachs Group Inc,Moodys Corp /De/,0.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Visa Inc,2.3
Microsoft Corp,3,Bank Of America Corp,Nestle Sa Cham Et Ve,36.9
Coca-Cola Company,1,Coca-Cola Company,General Mills Inc,0.5
Microsoft Corp,1,Microsoft Corp,Amazon Com Inc,6.5
Morgan Stanley International Holdings Inc,2,Citigroup Inc,Nomura Holdings Inc,0.7
Pepsico Inc,2,Morgan Stanley International Holdings Inc,Sandp Global Inc,0.5
Morgan Stanley International Holdings Inc,2,Citigroup Inc,Public Storage,0.7
Coca-Cola Company,2,Apple Inc,Goldman Sachs Group Inc,24.8
Goldman Sachs Group Inc,2,Citigroup Inc,Eaton Vance Corp,1
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Oasis Petroleum Inc,5
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Genworth Financial Inc,0.6
Coca-Cola Company,2,Philip Morris International Inc,Altria Group,28.5
Alphabet Inc,2,Oracle Corp,Credit Suisse Group,0.6
Pepsico Inc,2,Wells Fargo And Company,Pimco Dynamic Credit Income Fun,2.5
Microsoft Corp,2,International Business Machines Corp,Walmart Inc,0.7
Coca-Cola Company,2,Intercontinental Exchange,Altagas Ltd,0.6
Coca-Cola Company,2,Intercontinental Exchange,National Bank Of Canada,0.5
Coca-Cola Company,2,Intercontinental Exchange,Euronext Nv,0.6
Coca-Cola Company,3,Bank Of America Corp,Walmart Inc,24.4
Coca-Cola Company,3,Bank Of America Corp,Ferrari Nv,2
Coca-Cola Company,3,Bank Of America Corp,Msa Safety Inc,2.2
Morgan Stanley International Holdings Inc,3,Goldman Sachs Group Inc,Visa Inc,0.9
